range[mJ/cm^2],u(D)
276.584150664449,0
320.051379402308,0.0280504908835905
363.518608140167,0.154978962131837
406.985836878027,0.157784011220196
450.453065615886,0.139551192145863
493.920294353745,0.0953716690042076
537.387523091604,0.0715287517531557
580.854751829464,0.0434782608695652
624.321980567323,0.0518934081346424
667.789209305182,0.032258064516129
711.256438043041,0.0238429172510519
754.7236667809,0.02945301542777
798.19089551876,0.0196353436185133
841.658124256619,0.0189340813464236
885.125352994478,0.0203366058906031
928.592581732337,0.0154277699859748
972.059810470196,0.0112201963534362
1015.52703920806,0.00981767180925666
1058.99426794591,0.00701262272089762
1102.46149668377,0.00981767180925666
1145.92872542163,0.00420757363253857
1189.39595415949,0.00280504908835905
1232.86318289735,0.00420757363253857
1276.33041163521,0.00420757363253857
1319.79764037307,0.00140252454417952
1363.26486911093,0.00420757363253857
1406.73209784879,0.00350631136044881
1450.19932658665,0.00420757363253857
1493.66655532451,0.00420757363253857
1537.13378406237,0.00140252454417952
1580.60101280023,0.00210378681626928
1624.06824153808,0.000701262272089762
1667.53547027594,0.00140252454417952
1711.0026990138,0.00210378681626928
1754.46992775166,0.00280504908835905
1797.93715648952,0.00280504908835905
1841.40438522738,0.00210378681626928
1884.87161396524,0
1928.3388427031,0.000701262272089762
1971.80607144096,0
2015.27330017882,0.00140252454417952
2058.74052891668,0.00210378681626928
2102.20775765454,0.00140252454417952
2145.6749863924,0.00140252454417952
2189.14221513025,0
2232.60944386811,0.00140252454417952
2276.07667260597,0.00210378681626928
2319.54390134383,0.000701262272089762
2363.01113008169,0
2406.47835881955,0
